Order ID,Order Date,Order_Month,Customer Name,Region,City,Category,Sub-Category,Product Name,Quantity,Unit Price,Discount,Sales,Discount_Percentage_onSales,Profit,Profit-Margin,Payment Mode
10022,3/16/2024,,Kashvi Ratti,North,Lucknow,Groceries,Wheat,Wheat Natus,5,"$26,762.00",15,"$113,738.50",0.01,"$27,267.31",23.97,Credit Card
10023,11/2/2023,,Vivaan Goyal,West,Surat,Books,Comics,Comics Aperiam,1,"$47,699.00",20,"$38,159.20",0.05,"$8,535.56",22.37,UPI
10024,7/10/2025,,Nayantara Bhagat,East,Ranchi,Beauty,Face Cream,Face Cream Repellat,1,"$28,257.00",10,"$25,431.30",0.04,"$3,959.79",15.57,Credit Card
10025,6/21/2025,,Lakshay Ramakrishnan,North,Chandigarh,Electronics,Headphones,Headphones Itaque,5,"$24,056.00",20,"$96,224.00",0.02,"$20,551.56",21.36,COD
10026,1/13/2024,,Dhanush Vaidya,South,Chennai,Groceries,Rice,Rice Impedit,2,"$65,756.00",5,"$124,936.40",0.00,"$19,544.76",15.64,UPI
10027,4/22/2025,,Kimaya Rege,North,Lucknow,Beauty,Foundation,Foundation Illo,1,"$8,276.00",0,"$8,276.00",0.00,$537.47,6.49,Net Banking
10028,12/12/2024,,Anika Wable,East,Bhubaneswar,Furniture,Table,Table Error,3,$731.00,0,"$2,193.00",0.00,$214.10,9.76,UPI
10029,8/27/2025,,Kavya Bhatnagar,North,Delhi,Toys,RC Car,RC Car Amet,2,"$67,085.00",20,"$107,336.00",0.02,"$22,034.77",20.53,Net Banking
10030,4/22/2024,,Adira Seshadri,North,Chandigarh,Groceries,Sugar,Sugar Excepturi,5,"$79,453.00",15,"$337,675.25",0.00,"$80,309.87",23.78,Debit Card
10031,1/7/2025,,Zaina Sidhu,West,Goa,Groceries,Wheat,Wheat Consequuntur,2,"$25,545.00",10,"$45,981.00",0.02,"$9,818.01",21.35,Credit Card
10032,12/11/2023,,Bhamini Kuruvilla,North,Jaipur,Sports,Cricket Bat,Cricket Bat Voluptatum,4,"$76,643.00",5,"$291,243.40",0.00,"$40,522.22",13.91,UPI
10033,6/24/2024,,Kavya Saran,West,Ahmedabad,Furniture,Sofa,Sofa Deleniti,4,"$60,561.00",20,"$193,795.20",0.01,"$21,970.55",11.34,Net Banking
10034,7/11/2025,,Mannat Batta,East,Guwahati,Toys,RC Car,RC Car Quam,4,"$19,080.00",20,"$61,056.00",0.03,"$10,008.03",16.39,Debit Card
10035,12/31/2023,,Shayak Bala,South,Thiruvananthapuram,Toys,Action Figure,Action Figure Laboriosam,2,"$48,271.00",20,"$77,233.60",0.03,"$13,625.93",17.64,Net Banking
10036,3/8/2025,,Hrishita Kumer,South,Thiruvananthapuram,Beauty,Lipstick,Lipstick Accusantium,4,"$7,232.00",15,"$24,588.80",0.06,"$4,643.94",18.89,Credit Card
10037,12/2/2024,,Prisha Gaba,West,Surat,Sports,Dumbbells,Dumbbells Quas,2,"$78,467.00",0,"$156,934.00",0.00,"$9,444.77",6.02,Credit Card
10038,10/19/2023,,Arhaan Gole,North,Lucknow,Sports,Yoga Mat,Yoga Mat Quaerat,4,"$34,124.00",5,"$129,671.20",0.00,"$8,392.19",6.47,UPI
10039,9/30/2025,,Shaan Bala,East,Ranchi,Toys,Puzzle,Puzzle Assumenda,2,"$60,907.00",0,"$121,814.00",0.00,"$24,378.77",20.01,COD
10040,11/16/2023,,Taran Kala,North,Lucknow,Kitchen,Refrigerator,Refrigerator Libero,5,"$9,102.00",10,"$40,959.00",0.02,"$7,785.75",19.01,Debit Card
10041,9/18/2024,,Nitara Hayre,East,Guwahati,Toys,Board Game,Board Game Consequuntur,5,"$76,782.00",20,"$307,128.00",0.01,"$47,122.10",15.34,UPI
10042,7/1/2025,,Lavanya Tata,North,Amritsar,Toys,Doll,Doll Laborum,5,"$57,559.00",5,"$273,405.25",0.00,"$26,969.18",9.86,Debit Card
10043,2/11/2024,,Badal Dada,West,Surat,Electronics,Camera,Camera A,2,"$68,630.00",0,"$137,260.00",0.00,"$16,783.04",12.23,Net Banking
10044,10/23/2024,,Bhamini Sane,South,Coimbatore,Groceries,Rice,Rice Incidunt,5,"$64,105.00",20,"$256,420.00",0.01,"$61,655.17",24.04,Net Banking
10045,11/3/2023,,Eva Babu,East,Guwahati,Books,Textbook,Textbook Consequuntur,2,"$68,202.00",0,"$136,404.00",0.00,"$33,860.63",24.82,Debit Card
10046,11/20/2023,,Prerak Saha,West,Pune,Books,Biography,Biography Magni,1,"$36,207.00",15,"$30,775.95",0.05,"$5,230.85",17.00,COD
10047,10/1/2025,,Advik Sule,North,Delhi,Beauty,Perfume,Perfume Quisquam,3,"$55,843.00",10,"$150,776.10",0.01,"$23,835.95",15.81,Credit Card
10048,9/3/2025,,Divij Chawla,West,Surat,Sports,Tennis Racket,Tennis Racket Sapiente,5,"$60,512.00",5,"$287,432.00",0.00,"$41,217.09",14.34,Credit Card
10049,1/22/2025,,Nirvaan Ben,North,Delhi,Toys,Puzzle,Puzzle Dolorem,1,"$70,834.00",10,"$63,750.60",0.02,"$4,232.48",6.64,UPI
10050,4/28/2024,,Shlok Dayal,West,Ahmedabad,Clothing,Shoes,Shoes Deleniti,1,"$33,485.00",0,"$33,485.00",0.00,"$6,131.25",18.31,COD
10051,5/4/2024,,Vritika Cherian,East,Patna,Beauty,Perfume,Perfume Rerum,5,"$8,568.00",5,"$40,698.00",0.01,"$3,935.70",9.67,UPI
10052,5/6/2025,,Eshani Arya,East,Ranchi,Furniture,Sofa,Sofa Omnis,4,"$64,645.00",5,"$245,651.00",0.00,"$51,927.61",21.14,UPI
10053,9/2/2025,,Elakshi Bajwa,West,Goa,Books,Biography,Biography Illum,5,"$12,976.00",0,"$64,880.00",0.00,"$11,967.13",18.45,COD
10054,4/15/2024,,Jayant Kala,West,Pune,Clothing,Women's Wear,Women's Wear Odio,3,"$27,698.00",20,"$66,475.20",0.03,"$8,946.95",13.46,UPI
10055,12/9/2023,,Biju Mannan,East,Bhubaneswar,Sports,Tennis Racket,Tennis Racket Ea,2,"$28,261.00",15,"$48,043.70",0.03,"$10,879.68",22.65,Debit Card
10056,5/19/2024,,Alisha Sampath,North,Jaipur,Furniture,Bed,Bed Molestias,5,"$42,462.00",0,"$212,310.00",0.00,"$11,609.02",5.47,Net Banking
10057,12/5/2023,,Rhea Krishnamurthy,East,Patna,Home Decor,Wall Art,Wall Art Excepturi,4,"$62,926.00",0,"$251,704.00",0.00,"$40,267.43",16.00,Credit Card
10058,10/16/2024,,Samarth Chatterjee,East,Patna,Toys,Puzzle,Puzzle Ut,4,"$73,473.00",15,"$249,808.20",0.01,"$56,964.33",22.80,Net Banking
10059,10/9/2024,,Ojas Konda,West,Pune,Furniture,Cabinet,Cabinet Odit,3,"$29,226.00",15,"$74,526.30",0.02,"$17,899.47",24.02,Net Banking
10060,5/16/2025,,Heer Saran,West,Mumbai,Home Decor,Vase,Vase Necessitatibus,2,"$9,860.00",10,"$17,748.00",0.06,"$4,403.60",24.81,Credit Card
10061,4/30/2025,,Manikya Dar,West,Ahmedabad,Sports,Football,Football Eveniet,5,"$17,665.00",0,"$88,325.00",0.00,"$17,529.47",19.85,UPI
10062,4/9/2024,,Azad Kunda,South,Chennai,Kitchen,Cookware Set,Cookware Set Nisi,2,"$13,751.00",15,"$23,376.70",0.06,"$5,552.74",23.75,Debit Card
10063,1/26/2025,,Drishya Apte,West,Pune,Kitchen,Juicer,Juicer Totam,5,"$11,226.00",10,"$50,517.00",0.02,"$2,567.28",5.08,Debit Card
10064,12/27/2023,,Shray Arya,West,Pune,Toys,Action Figure,Action Figure Cum,4,"$70,618.00",5,"$268,348.40",0.00,"$50,743.10",18.91,COD
10065,6/23/2024,,Ritvik Madan,South,Bangalore,Books,Biography,Biography Nobis,3,"$37,492.00",15,"$95,604.60",0.02,"$19,263.79",20.15,UPI
10066,6/22/2024,,Purab Batta,North,Chandigarh,Kitchen,Juicer,Juicer Vero,2,"$34,997.00",0,"$69,994.00",0.00,"$11,129.92",15.90,COD
10067,5/28/2025,,Purab Krishna,West,Surat,Kitchen,Mixer Grinder,Mixer Grinder Recusandae,2,"$71,572.00",10,"$128,829.60",0.01,"$14,012.66",10.88,Credit Card
10068,2/23/2024,,Manikya Srinivasan,West,Goa,Books,Biography,Biography Ad,5,"$38,936.00",5,"$184,946.00",0.00,"$30,144.65",16.30,COD
10069,11/24/2023,,Raghav Gara,East,Bhubaneswar,Home Decor,Vase,Vase Molestiae,1,"$19,506.00",0,"$19,506.00",0.00,"$2,911.10",14.92,Net Banking
10070,1/2/2025,,Raghav Sabharwal,East,Ranchi,Sports,Tennis Racket,Tennis Racket At,5,"$48,227.00",10,"$217,021.50",0.00,"$52,730.72",24.30,UPI
10071,8/31/2024,,Tanya Vora,South,Bangalore,Sports,Tennis Racket,Tennis Racket Ipsa,3,"$2,697.00",5,"$7,686.45",0.07,$387.48,5.04,Net Banking
10072,6/18/2025,,Mannat Dhaliwal,East,Ranchi,Toys,RC Car,RC Car Eius,4,"$47,678.00",20,"$152,569.60",0.01,"$13,719.94",8.99,Debit Card
10073,4/1/2025,,Drishya Korpal,North,Chandigarh,Home Decor,Cushion,Cushion Quis,1,"$39,545.00",15,"$33,613.25",0.04,"$4,294.42",12.78,COD
10074,3/14/2024,,Vritika Gade,West,Pune,Toys,Puzzle,Puzzle Nesciunt,5,"$60,787.00",15,"$258,344.75",0.01,"$33,333.56",12.90,Credit Card
10075,12/9/2024,,Neysa Ganguly,North,Amritsar,Toys,Action Figure,Action Figure Placeat,1,"$26,035.00",20,"$20,828.00",0.10,"$2,957.26",14.20,Net Banking
10076,1/17/2025,,Adah Kaul,West,Ahmedabad,Clothing,Kids Wear,Kids Wear Aut,5,"$41,865.00",10,"$188,392.50",0.01,"$36,655.65",19.46,COD
10077,3/4/2025,,Shalv Subramaniam,North,Lucknow,Kitchen,Cookware Set,Cookware Set Libero,4,"$76,576.00",10,"$275,673.60",0.00,"$39,540.52",14.34,Net Banking
10078,4/10/2024,,Chirag Hans,South,Bangalore,Electronics,Camera,Camera Nostrum,2,"$33,749.00",20,"$53,998.40",0.04,"$6,954.99",12.88,COD
10079,7/5/2024,,Saanvi Deshmukh,West,Pune,Kitchen,Refrigerator,Refrigerator Sequi,4,"$46,014.00",15,"$156,447.60",0.01,"$8,166.96",5.22,UPI
10080,2/17/2025,,Yakshit Bajwa,West,Surat,Beauty,Lipstick,Lipstick At,5,"$55,423.00",10,"$249,403.50",0.00,"$15,673.19",6.28,Debit Card
10081,12/5/2023,,Jayan Lall,South,Coimbatore,Furniture,Cabinet,Cabinet Nobis,5,"$5,463.00",5,"$25,949.25",0.02,"$1,306.37",5.03,Debit Card
10082,12/13/2024,,Kashvi Bakshi,South,Hyderabad,Sports,Yoga Mat,Yoga Mat Deserunt,1,"$4,714.00",0,"$4,714.00",0.00,$547.63,11.62,COD
10083,6/20/2025,,Myra Goda,East,Ranchi,Sports,Tennis Racket,Tennis Racket Cupiditate,4,"$31,170.00",10,"$112,212.00",0.01,"$22,964.29",20.47,Debit Card
10084,7/20/2024,,Jayesh Ramachandran,West,Goa,Home Decor,Vase,Vase Similique,1,"$8,927.00",20,"$7,141.60",0.28,"$1,373.47",19.23,COD
10085,11/1/2024,,Hazel Reddy,East,Bhubaneswar,Furniture,Cabinet,Cabinet Natus,1,"$16,256.00",5,"$15,443.20",0.03,"$1,764.79",11.43,Credit Card
10086,6/2/2025,,Shamik Keer,East,Guwahati,Toys,Board Game,Board Game Sequi,2,"$22,240.00",0,"$44,480.00",0.00,"$8,602.03",19.34,UPI
10087,3/29/2024,,Saira Trivedi,West,Goa,Groceries,Oil,Oil Modi,3,"$62,172.00",0,"$186,516.00",0.00,"$23,035.44",12.35,Debit Card
10088,11/15/2023,,Baiju Dube,North,Lucknow,Sports,Tennis Racket,Tennis Racket Aperiam,5,"$39,458.00",5,"$187,425.50",0.00,"$44,132.79",23.55,COD
10089,12/25/2024,,Ehsaan Butala,South,Thiruvananthapuram,Books,Comics,Comics Voluptatibus,4,"$34,376.00",5,"$130,628.80",0.00,"$15,353.38",11.75,Net Banking
10090,2/26/2025,,Bhavin Toor,West,Mumbai,Clothing,Kids Wear,Kids Wear Ipsa,4,"$53,084.00",15,"$180,485.60",0.01,"$19,220.42",10.65,Credit Card
10091,6/8/2025,,Romil Sawhney,East,Guwahati,Beauty,Lipstick,Lipstick Nostrum,3,"$60,656.00",0,"$181,968.00",0.00,"$26,322.70",14.47,Debit Card
10092,1/29/2025,,Mamooty Mannan,North,Chandigarh,Electronics,Camera,Camera Ipsa,1,"$73,564.00",15,"$62,529.40",0.02,"$13,309.30",21.28,Credit Card
10093,1/11/2025,,Reyansh Saraf,East,Patna,Furniture,Sofa,Sofa Quaerat,5,"$26,060.00",5,"$123,785.00",0.00,"$24,340.25",19.66,UPI
10094,1/8/2025,,Jayesh Madan,South,Hyderabad,Beauty,Perfume,Perfume Qui,4,"$72,702.00",5,"$276,267.60",0.00,"$35,015.76",12.67,Debit Card
10095,1/12/2024,,Kiaan Ranganathan,East,Patna,Electronics,Camera,Camera Temporibus,2,"$40,818.00",20,"$65,308.80",0.03,"$5,824.16",8.92,UPI
10096,5/31/2024,,Riya Varughese,West,Pune,Groceries,Spices,Spices Reiciendis,3,"$24,183.00",0,"$72,549.00",0.00,"$17,203.30",23.71,Credit Card
10097,10/17/2024,,Yasmin Warrior,East,Patna,Groceries,Oil,Oil Non,4,"$19,526.00",15,"$66,388.40",0.02,"$12,866.73",19.38,Credit Card
10098,11/26/2023,,Vihaan Bhalla,West,Mumbai,Books,Fiction,Fiction Nemo,5,"$54,037.00",0,"$270,185.00",0.00,"$58,810.96",21.77,Net Banking
10099,2/12/2024,,Eshani Sani,South,Thiruvananthapuram,Sports,Yoga Mat,Yoga Mat Optio,5,"$63,813.00",0,"$319,065.00",0.00,"$36,797.04",11.53,Credit Card
10100,12/24/2023,,Arnav Badami,North,Lucknow,Electronics,Mobile,Mobile Harum,3,"$74,680.00",10,"$201,636.00",0.00,"$41,541.42",20.60,Credit Card
10101,6/16/2025,,Umang Virk,South,Coimbatore,Clothing,Accessories,Accessories Natus,4,"$13,189.00",10,"$47,480.40",0.02,"$10,986.33",23.14,Net Banking
10102,11/4/2024,,Ira Soni,East,Bhubaneswar,Sports,Dumbbells,Dumbbells Quos,4,"$1,138.00",10,"$4,096.80",0.24,$888.13,21.68,Credit Card
10103,8/14/2025,,Arnav Karpe,East,Ranchi,Furniture,Sofa,Sofa Repudiandae,5,"$76,226.00",20,"$304,904.00",0.01,"$22,939.07",7.52,Credit Card
10104,2/10/2025,,Hansh Kaul,West,Surat,Toys,Doll,Doll Totam,3,"$31,343.00",15,"$79,924.65",0.02,"$18,762.37",23.48,Net Banking
10105,11/17/2023,,Ela Srivastava,North,Lucknow,Home Decor,Lamp,Lamp Pariatur,4,"$61,338.00",15,"$208,549.20",0.01,"$40,557.88",19.45,Net Banking
10106,5/19/2024,,Elakshi Sachdev,West,Mumbai,Furniture,Table,Table Laudantium,1,"$8,623.00",20,"$6,898.40",0.29,$677.28,9.82,Debit Card
10107,10/27/2024,,Emir Ramanathan,South,Chennai,Sports,Dumbbells,Dumbbells Aspernatur,3,"$41,142.00",5,"$117,254.70",0.00,"$7,179.82",6.12,Net Banking
10108,6/8/2024,,Prisha Shenoy,South,Coimbatore,Clothing,Kids Wear,Kids Wear Architecto,5,"$13,088.00",10,"$58,896.00",0.02,"$11,457.13",19.45,Debit Card
10109,9/7/2024,,Parinaaz Luthra,North,Jaipur,Furniture,Bed,Bed Officiis,1,"$44,965.00",10,"$40,468.50",0.02,"$3,617.94",8.94,Debit Card
10110,1/5/2025,,Aarna Bandi,West,Goa,Toys,RC Car,RC Car Incidunt,4,"$28,822.00",10,"$103,759.20",0.01,"$25,441.67",24.52,Net Banking
10111,10/22/2024,,Rasha Bansal,North,Amritsar,Electronics,Camera,Camera Dignissimos,2,"$30,299.00",10,"$54,538.20",0.02,"$10,554.74",19.35,Credit Card
10112,4/12/2024,,Alisha Amble,North,Chandigarh,Kitchen,Microwave,Microwave Vero,2,"$44,595.00",20,"$71,352.00",0.03,"$5,019.37",7.03,Net Banking
10113,10/4/2023,,Aniruddh Ratti,South,Coimbatore,Furniture,Table,Table Repudiandae,3,"$32,301.00",20,"$77,522.40",0.03,"$10,882.22",14.04,Net Banking
10114,11/30/2023,,Ishita Bajwa,South,Bangalore,Home Decor,Cushion,Cushion Dignissimos,3,"$78,217.00",0,"$234,651.00",0.00,"$18,949.32",8.08,COD
10115,11/23/2024,,Farhan Sarkar,South,Chennai,Toys,Board Game,Board Game Earum,5,"$19,154.00",15,"$81,404.50",0.02,"$8,267.53",10.16,COD
10116,5/15/2025,,Aniruddh Kothari,West,Pune,Kitchen,Juicer,Juicer In,4,"$25,790.00",20,"$82,528.00",0.02,"$4,856.22",5.88,Debit Card
10117,5/10/2024,,Samar Kumar,East,Kolkata,Beauty,Lipstick,Lipstick Soluta,3,"$78,010.00",10,"$210,627.00",0.00,"$20,117.45",9.55,UPI
10118,1/30/2025,,Ishaan Golla,East,Ranchi,Kitchen,Microwave,Microwave Aperiam,4,"$8,753.00",5,"$33,261.40",0.02,"$4,190.20",12.60,UPI
10119,9/26/2024,,Aniruddh Wagle,West,Surat,Kitchen,Microwave,Microwave Reiciendis,5,"$49,477.00",20,"$197,908.00",0.01,"$38,220.91",19.31,Credit Card
10120,1/10/2025,,Nishith Tara,South,Coimbatore,Sports,Yoga Mat,Yoga Mat Vel,1,"$54,160.00",15,"$46,036.00",0.03,"$9,505.54",20.65,COD
10121,5/16/2025,,Yakshit Bakshi,South,Thiruvananthapuram,Sports,Football,Football Eum,2,"$58,592.00",5,"$111,324.80",0.00,"$9,680.25",8.70,Debit Card
10122,4/25/2025,,Navya Amble,South,Hyderabad,Electronics,Laptop,Laptop Amet,1,"$6,284.00",0,"$6,284.00",0.00,$888.46,14.14,Debit Card
10123,6/23/2025,,Heer Lata,North,Delhi,Groceries,Spices,Spices Non,4,"$79,276.00",20,"$253,683.20",0.01,"$28,531.58",11.25,UPI
10124,12/2/2024,,Jiya Tandon,North,Jaipur,Clothing,Shoes,Shoes Recusandae,3,"$22,072.00",20,"$52,972.80",0.04,"$2,832.75",5.35,Net Banking
10125,11/22/2024,,Divyansh Kale,North,Lucknow,Kitchen,Juicer,Juicer Deleniti,1,"$61,175.00",15,"$51,998.75",0.03,"$10,749.96",20.67,Debit Card
10126,6/3/2024,,Raunak Raj,East,Patna,Books,Fiction,Fiction Necessitatibus,3,"$53,034.00",15,"$135,236.70",0.01,"$16,863.94",12.47,Net Banking
10127,2/9/2025,,Mehul Magar,North,Lucknow,Groceries,Oil,Oil Laboriosam,3,"$20,304.00",10,"$54,820.80",0.02,"$8,867.14",16.17,UPI
10128,11/12/2024,,Gatik Sharma,West,Ahmedabad,Home Decor,Cushion,Cushion Id,3,"$19,607.00",0,"$58,821.00",0.00,"$9,062.46",15.41,UPI
10129,7/31/2025,,Dhanuk Dhar,North,Jaipur,Furniture,Table,Table Placeat,1,"$26,827.00",10,"$24,144.30",0.04,"$4,041.10",16.74,Credit Card
10130,3/7/2024,,Kavya Varty,South,Bangalore,Groceries,Spices,Spices Error,5,"$31,262.00",15,"$132,863.50",0.01,"$12,796.17",9.63,Credit Card
10131,7/3/2024,,Ishaan Walia,South,Hyderabad,Electronics,Headphones,Headphones Id,4,"$61,765.00",5,"$234,707.00",0.00,"$30,160.38",12.85,Net Banking
10132,8/22/2024,,Oorja Sur,East,Patna,Clothing,Women's Wear,Women's Wear Ipsa,4,"$2,962.00",20,"$9,478.40",0.21,$583.27,6.15,Credit Card
10133,8/1/2024,,Dharmajan Lall,East,Kolkata,Toys,Puzzle,Puzzle Placeat,3,"$17,679.00",15,"$45,081.45",0.03,"$2,373.83",5.27,UPI
10134,1/23/2024,,Shanaya Kala,North,Chandigarh,Furniture,Sofa,Sofa Nulla,1,"$79,310.00",15,"$67,413.50",0.02,"$6,655.67",9.87,UPI
10135,8/6/2024,,Rati Goel,South,Chennai,Electronics,Camera,Camera Culpa,4,"$33,270.00",5,"$126,426.00",0.00,"$12,467.79",9.86,Debit Card
10136,3/24/2024,,Ivan Sarna,West,Mumbai,Toys,Doll,Doll Adipisci,3,"$35,928.00",5,"$102,394.80",0.00,"$10,207.76",9.97,Debit Card
10137,3/26/2025,,Akarsh Hayre,East,Kolkata,Toys,Board Game,Board Game Animi,1,"$62,438.00",5,"$59,316.10",0.01,"$4,810.78",8.11,UPI
10138,10/18/2024,,Hrishita Bajaj,West,Surat,Furniture,Bed,Bed Accusantium,4,"$41,162.00",0,"$164,648.00",0.00,"$22,384.00",13.60,Debit Card
10139,1/15/2025,,Prerak Shere,East,Guwahati,Electronics,Mobile,Mobile Aspernatur,4,"$78,576.00",5,"$298,588.80",0.00,"$66,122.26",22.14,Credit Card
10140,8/13/2025,,Kartik Seth,East,Patna,Books,Non-Fiction,Non-Fiction Quae,3,"$38,456.00",5,"$109,599.60",0.00,"$26,199.38",23.90,Debit Card
10141,9/29/2024,,Riya Brahmbhatt,South,Hyderabad,Clothing,Kids Wear,Kids Wear Tempora,1,"$51,518.00",10,"$46,366.20",0.02,"$11,129.47",24.00,UPI
10142,12/5/2023,,Yuvraj  Bhardwaj,North,Delhi,Electronics,Mobile,Mobile Ea,3,"$25,964.00",0,"$77,892.00",0.00,"$7,594.54",9.75,COD
10143,4/20/2024,,Shamik Buch,East,Patna,Furniture,Cabinet,Cabinet Voluptatum,5,"$38,240.00",5,"$181,640.00",0.00,"$26,909.05",14.81,Debit Card
10144,4/2/2024,,Divij Dara,South,Hyderabad,Sports,Tennis Racket,Tennis Racket Asperiores,2,"$40,778.00",0,"$81,556.00",0.00,"$19,814.83",24.30,COD
10145,8/14/2024,,Jivin Hans,East,Bhubaneswar,Sports,Football,Football Dolores,5,"$22,147.00",5,"$105,198.25",0.00,"$7,812.18",7.43,UPI
10146,11/13/2024,,Vaibhav Rattan,South,Chennai,Furniture,Table,Table Tenetur,1,"$48,776.00",15,"$41,459.60",0.04,"$9,356.05",22.57,UPI
10147,1/1/2024,,Nayantara Kalita,West,Ahmedabad,Electronics,Smartwatch,Smartwatch Eum,2,"$74,802.00",15,"$127,163.40",0.01,"$8,863.77",6.97,Net Banking
10148,1/14/2024,,Shaan Sehgal,North,Delhi,Kitchen,Mixer Grinder,Mixer Grinder Porro,1,"$77,440.00",20,"$61,952.00",0.03,"$5,189.49",8.38,UPI
10149,6/14/2024,,Dhruv Garg,East,Ranchi,Kitchen,Juicer,Juicer Reiciendis,1,"$42,881.00",5,"$40,736.95",0.01,"$3,037.21",7.46,Net Banking
10150,3/4/2024,,Kavya Lanka,West,Surat,Books,Non-Fiction,Non-Fiction Commodi,4,"$11,205.00",10,"$40,338.00",0.02,"$6,759.61",16.76,UPI
10151,8/24/2025,,Fateh Tripathi,North,Jaipur,Toys,Puzzle,Puzzle Repellendus,4,"$67,259.00",5,"$255,584.20",0.00,"$24,050.17",9.41,UPI
10152,8/25/2025,,Manikya Bhattacharyya,South,Coimbatore,Groceries,Spices,Spices Suscipit,3,"$21,886.00",10,"$59,092.20",0.02,"$14,240.48",24.10,Net Banking
10153,7/11/2025,,Tiya Mani,North,Jaipur,Kitchen,Microwave,Microwave Officiis,3,"$8,844.00",0,"$26,532.00",0.00,"$3,837.38",14.46,UPI
10154,12/29/2023,,Vihaan Loyal,West,Goa,Kitchen,Cookware Set,Cookware Set Quo,3,"$32,484.00",5,"$92,579.40",0.01,"$14,375.96",15.53,COD
10155,12/12/2023,,Ritvik Vyas,North,Jaipur,Home Decor,Clock,Clock Itaque,2,"$26,027.00",5,"$49,451.30",0.01,"$8,546.38",17.28,UPI
